LON,LAT,type,name,email,street,city,state,zip,www,facebook,fbIcon,instagram,instaIcon,markets
-84.518577,37.922394,Cut Flower Grower,Agape Fields,julie@agapefields.com,1422 Beaumont Rd,Nicholasville,KY,40356,https://www.agapefields.com/,https://www.facebook.com/AgapeFieldsFlowers/,./icons/fb-icon.png,https://www.instagram.com/agapefields/,./icons/instagram-icon.png,"Wholesale to florists, Wedding Design, Delivery and CSA, You Pick, Workshops"
-84.6859716,38.2692388,Cut Flower Grower,Annie's Flowers,anniesfreshflowers@gmail.com,115 Wright St,Stamping Ground,KY,40379,https://www.anniesfreshflowers.com,https://www.facebook.com/freshflowersonthetable/,./icons/fb-icon.png,https://www.instagram.com/anniesflowers/,./icons/instagram-icon.png,"Wholesale to florists, Wedding Design, Farm Stands, Delivery to Lexington and Georgetown"
-84.8133622,37.9461691,Cut Flower Grower,Bellaire Blooms,bellairebloomsky@gmail.com,9335 McCowans Ferry Rd,Versailles,KY,40383,http://www.bellairebloomsky.com/,https://www.facebook.com/700bellaireave,./icons/fb-icon.png,https://www.instagram.com/bellaireblooms/,./icons/instagram-icon.png,"Wholesale to florists, Wedding Design, Farm Stands"
-85.757829,38.254824,Cut Flower Grower,Black Rooster Farm,blackroosterfarm@yahoo.com,,Louisville,KY,,http://www.blackroosterfarm.com/,https://www.facebook.com/blackroosterfarmkentucky,./icons/fb-icon.png,https://www.instagram.com/blackroosterfarm/,./icons/instagram-icon.png,Farmer's Market
-84.1567282,38.1524016,Cut Flower Grower,Blooms of Bourbon Co,cindykflowers@gmail.com,393 Thomas Rd,Paris,KY,40361,https://bloomsofbc.com/,https://www.facebook.com/bbcfreshcutflowers/,./icons/fb-icon.png,https://www.instagram.com/bloomsofbourboncounty/,./icons/instagram-icon.png,Farmer's Market
-84.1834639,38.0135048,Cut Flower Grower,Bluegrass Blooms & Botanicals,bluegrassblooms@gmail.com,671 Tech Dr.,Winchester,KY,40391,https://www.Bluegrassblooms.com,https://www.facebook.com/BluegrassBlooms/,./icons/fb-icon.png,https://www.instagram.com/bluegrassblooms/,./icons/instagram-icon.png,"Wholesale to florists, Wedding Design, Bouquet Subscription, Pop up Flower Bar, Grocery Stores"
-86.3236721,36.9404611,Cut Flower Grower,Briar Rose Garden,Briarrosegarden@gmail.com,7791 Cemetery Rd,Bowling Green ,KY,42103,https://www.briarrosegarden.com,https://www.facebook.com/briarrosegarden/,./icons/fb-icon.png,https://www.instagram.com/briarrosegarden/,./icons/instagram-icon.png,"Wedding Design, Farm Stands, You Pick"
-84.2818035,38.5116166,Cut Flower Grower,Brownings,browningsflowertruck@gmail.com,694 Blackburn Rd.,Cynthiana,KY,41031,https://www.browningsflowertruck.com/about,https://www.facebook.com/browningsflowertruck/,./icons/fb-icon.png,https://www.instagram.com/browningsflowertruck/,./icons/instagram-icon.png,"Wedding Design, Flower truck"
-85.1856465,36.8700292,Cut Flower Grower,Campbell's Hollow Ranch,klcampbell180@gmail.com,180 Hollow Ranch Rd,Albany,KY,42062,https://www.campbellshollowranch.com/,https://www.facebook.com/Campbells-Hollow-Ranch-1409743482681427/,./icons/fb-icon.png,https://www.instagram.com/campbellshollowranch/,./icons/instagram-icon.png,Farmer's Market
-86.0937425,37.6775211,Cut Flower Grower,Color Me Mod Flower Farm,colormemod@gmail.com,836 Horn Rd,Cecilia,KY,42724,https://www.colormemodflowerfarm.com,https://www.facebook.com/Colormemod/,./icons/fb-icon.png,https://www.instagram.com/colormemodflowerfarm/,./icons/instagram-icon.png,"Wholesale to florists, DIY Buckets "
